text,hazard_label,sentiment,keywords
water level rising rapidly,1,fear,"water level, rising rapidly, level rising, rising, water"
huge wave crashing rock,1,fear,"wave crashing, huge wave, crashing rock, wave, crashing"
enjoying calm day beach,0,positive,"day beach, beach, enjoying calm, calm day, calm"
sky look clear nothing alarming,0,neutral,"sky look, clear alarming, sky, look clear, alarming"
sea water coming onto road,1,fear,"sea water, water coming, sea, coming road, road"
people running away high tide,1,fear,"high tide, tide, people running, running away, people"
flood like situation near shore,1,fear,"flood like, flood, shore, near shore, situation near"
wind getting stronger every minute,1,fear,"wind getting, wind, stronger minute, getting stronger, stronger"
wave gentle today,0,positive,"wave gentle, gentle today, wave, gentle, today"
beautiful sunset beach,0,positive,"sunset beach, beautiful sunset, sunset, beach, beautiful"
look dangerous please stay safe,1,fear,"look dangerous, stay safe, dangerous stay, dangerous, safe"
feel like something wrong sea,1,fear,"wrong sea, sea, feel, feel like, like wrong"
boat struggling stay stable,1,neutral,"boat struggling, stay stable, boat, stable, struggling stay"
noticing unusual sea behaviour,1,positive,"sea behaviour, unusual sea, sea, noticing unusual, behaviour"
weather peaceful today,0,positive,"weather peaceful, peaceful today, peaceful, weather, today"
scary situation near coast,1,positive,"coast, scary situation, near coast, situation near, scary"
nothing unusual happening,0,neutral,"unusual happening, unusual, happening"
sea look angry today,0,fear,"sea look, look angry, angry today, sea, angry"
tide getting higher higher,1,fear,"tide getting, tide, higher higher, getting higher, higher"
kid playing near calm water,0,positive,"kid playing, calm water, playing near, water, near calm"
frightening scene near port,1,positive,"frightening scene, near port, scene near, port, frightening"
local fisherman worried today,1,positive,"fisherman worried, local fisherman, fisherman, worried today, worried"
beach deserted due high wave,1,fear,"beach deserted, beach, high wave, deserted high, wave"
tourist enjoying weather,0,positive,"enjoying weather, tourist enjoying, tourist, weather, enjoying"
massive wave almost hit road,1,fear,"massive wave, wave hit, wave, hit road, road"
hope everyone stay safe,1,positive,"stay safe, hope stay, safe, hope, stay"
minor flooding seen,1,neutral,"flooding seen, minor flooding, flooding, seen, minor"
everything control,1,positive,control
lifeguard warning people stay back,1,fear,"lifeguard warning, lifeguard, warning people, warning, people stay"
strong wind pushing wave inland,1,positive,"wave inland, wind pushing, strong wind, pushing wave, wind"
sea calm need worry,0,positive,"sea calm, sea, calm, calm need, need worry"
water force increasing slowly,1,fear,"water force, force increasing, increasing slowly, force, increasing"
local reporting unusual tide pattern,1,positive,"unusual tide, tide pattern, tide, reporting unusual, local reporting"
huge splash hitting wall,1,fear,"huge splash, splash hitting, splash, hitting wall, wall"
family walking near calm beach,0,positive,"family walking, calm beach, beach, walking near, near calm"
look normal danger,0,fear,"normal danger, look normal, danger, normal, look"
wave looked deadly,1,fear,"wave looked, looked deadly, wave, deadly, looked"
boat returning early due warning,1,fear,"boat returning, early warning, returning early, boat, warning"
coast guard watching situation closely,1,positive,"coast guard, guard watching, watching situation, coast, guard"
wave normal steady,0,neutral,"wave normal, normal steady, wave, steady, normal"
possible danger approaching stay alert,1,fear,"danger approaching, stay alert, possible danger, danger, alert"
nothing panic,1,fear,panic
sea behaving strangely today,1,neutral,"sea behaving, sea, strangely today, behaving strangely, today"
relaxing watching wave,1,positive,"watching wave, relaxing watching, relaxing, wave, watching"
extreme tide pushing water forward,1,fear,"extreme tide, tide pushing, tide, water forward, pushing water"
calm atmosphere,0,positive,"calm atmosphere, atmosphere, calm"
look safe,0,positive,"look safe, safe, look"
tourist taking picture happily,0,positive,"picture happily, tourist taking, taking picture, tourist, picture"
area already flooded,1,fear,"area flooded, flooded, area"
sudden rise water level,1,fear,"water level, rise water, sudden rise, rise, water"
water bahut zyada badh raha hai yaha,1,fear,"water bahut, raha hai, bahut zyada, badh raha, hai yaha"
aaj wave normal lag rahi hain,1,fear,"lag rahi, aaj wave, rahi hain, normal lag, wave normal"
beach par log panic bhaag rahe,1,fear,"beach par, panic bhaag, log panic, bhaag rahe, par log"
yeh wave kaafi dangerous lag rahi hai,1,fear,"wave kaafi, lag rahi, rahi hai, kaafi dangerous, yeh wave"
paani sadak par chuka hai,1,fear,"chuka hai, par chuka, paani sadak, sadak par, hai"
sea behaviour aaj thoda weird hai,1,neutral,"sea behaviour, weird hai, thoda weird, aaj thoda, hai"
high tide aane wala lag raha hai,1,neutral,"raha hai, lag raha, high tide, tide aane, aane wala"
coast guard alert mode dikh rahe hain,1,neutral,"mode dikh, guard alert, coast guard, dikh rahe, dikh"
beach bilkul peaceful lag rahi hai aaj,1,fear,"beach bilkul, hai aaj, bilkul peaceful, rahi hai, lag rahi"
tide aur zyada tez raha hai,1,fear,"raha hai, aur zyada, tez raha, zyada tez, tide aur"
log bol rahe hain paani ghar tak raha hai,1,fear,"raha hai, rahe hain, log bol, hai, tak raha"
aaj mausam kaafi calm aur soothing hai,0,positive,"soothing hai, kaafi calm, aur soothing, aaj mausam, mausam kaafi"
wave bahut upar tak gayi,1,fear,"tak gayi, upar tak, wave bahut, bahut upar, tak"
video dekhkar lag raha tsunami type situation hai,1,fear,"raha tsunami, video dekhkar, tsunami, dekhkar lag, tsunami type"
yahaan bohot tezi hawa chal rahi hai,1,fear,"rahi hai, hawa chal, yahaan bohot, tezi hawa, chal rahi"
beach par kuch unusual activity rahi hai,1,positive,"beach par, activity rahi, rahi hai, beach, kuch unusual"
wave dekhkar thoda darr lag raha hai,1,fear,"dekhkar thoda, wave dekhkar, raha hai, dekhkar, lag raha"
aaj paani bilkul clean aur calm hai,0,positive,"bilkul clean, paani bilkul, calm hai, aaj paani, aur calm"
coastal area halka flooding start gaya hai,1,fear,"halka flooding, gaya hai, flooding, flooding start, start gaya"
